gene_id,Ah11_30_21,Ah11_30_22,Ah11_34_21,Ah11_34_22,Ah17_30_21,Ah17_30_22,Ah17_34_21,Ah17_34_22,Ah2_30_21,Ah2_30_22,Ah2_34_21,Ah2_34_22,Ah4_30_21,Ah4_30_22,Ah4_34_21,Ah4_34_22,Ah8_30_21,Ah8_30_22,Ah8_34_22
ahya_s1723.g1,1371,831,285,1900,1025,1617,1664,1401,517,1261,76,1210,1412,1078,450,1659,528,1148,1395
ahya_s1015.g1,431,111,43,716,238,333,191,471,24,282,486,506,415,358,105,782,38,234,605
ahya_s1446.g1,72,13,51,81,173,9,105,18,61,39,124,24,185,162,125,109,40,74,51
ahya_s2271.g1,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,2,0,72,48
ahya_s0157.g8,14,2,0,12,202,15,179,10,12,12,0,0,0,25,0,24,87,0,8
ahya_s0157.g17,0,0,0,3,0,6,0,8,0,11,0,9,0,27,0,10,0,53,43
ahya_s0157.g10,0,0,0,0,0,228,0,176,0,257,0,169,0,0,0,0,0,0,0
ahya_s0157.g11,9,4,0,12,0,593,0,450,89,537,22,369,150,209,21,225,0,49,36
ahya_s0157.g12,23,18,0,10,3,83,0,40,0,45,0,38,27,84,20,59,0,9,6
ahya_s0157.g13,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
ahya_s0157.g14,7,5,0,6,4,172,4,81,0,99,30,39,0,13,0,3,0,56,57
ahya_s0157.g20,38,49,7,140,0,28,3,22,0,30,0,23,17,45,0,31,0,25,31
ahya_s0157.g3,0,0,0,6,0,7,0,0,0,0,0,0,0,1,3,0,0,0,4
ahya_s0157.g6,0,5,6,5,188,93,47,102,0,104,0,71,0,3,0,0,15,27,39
ahya_s0157.g7,0,37,0,0,0,79,2,10,0,70,0,23,16,18,15,19,0,7,4
ahya_s0157.g2,60,58,50,121,73,48,51,60,0,44,0,49,39,60,21,119,18,62,61
ahya_s0157.g4,3887,2473,2329,6343,0,0,0,3,0,5,0,3,24,162,0,87,0,97,29
