baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ahya_s0227.g14	1723.76151295116	-2.05783914885457	0.686836812481654	-2.99611073759902	0.00273447111607756	0.0475305332878978
ahya_s0148.g30	1857.34220656062	-1.09974565521403	0.368185034781677	-2.9869374127771	0.00281787404671612	0.0482626288809448
ahya_s0148.g36	614.886891845188	3.19457595796361	0.722150620808116	4.42369758595339	9.70258121203256e-06	0.000936114860735597
ahya_s0276.g15	15282.6840645201	-2.31150236231303	0.584256639259733	-3.95631338523044	7.61152965777047e-05	0.00429741326307604
ahya_s0011.g136	329.342362798288	-1.44606027792906	0.48010824214201	-3.01194637167119	0.002595784516426	0.0458518414465793
ahya_s0011.g50	1178.436233395	-2.14462374710908	0.508255290582942	-4.2195797797782	2.44758100537895e-05	0.00192324354876272
ahya_s0011.g73	268.483937647064	-3.13553558098973	0.774656895508502	-4.04764431733548	5.17356835333414e-05	0.00322774281633264
ahya_s0011.g77	2483.27254125938	-2.35118488143672	0.774138352879399	-3.03716367066884	0.00238815745649949	0.0431339718801875
ahya_s0011.g167	3038.71587051003	-2.13526904452671	0.682851497751356	-3.12698888639505	0.00176606603258858	0.0354702379456921
ahya_s0011.g196	9570.44165711385	2.09078933197681	0.625068718642796	3.34489516051374	0.000823136786125717	0.0215544825988097
ahya_s0011.g200	1050.55745415289	0.793973394037768	0.259430766485659	3.06044423640732	0.00221008911946304	0.0410360518113211
ahya_s0011.g208	1381.35608562561	-1.87734426554786	0.495924349333583	-3.78554565443421	0.000153371672215081	0.00689931903084462
ahya_s0011.g209	2116.54943063586	-1.74432909630368	0.498421938568344	-3.49970368743008	0.000465775600039272	0.0144903739734667
ahya_s0011.g215	1545.33549958471	-1.12119355223628	0.323196064452285	-3.46908169855456	0.000522240617136974	0.0159539798950622
ahya_s0146.g14	276.597803563807	-1.62631635538183	0.396112886777979	-4.10568908426697	4.03111384270483e-05	0.00274331693831216
ahya_s0146.g16	4166.58627800225	-1.36988744715332	0.367409572474536	-3.72850233032038	0.000192621128056033	0.0080227226122573
ahya_s0146.g27	357.225290488939	-2.58216323015097	0.658002871347508	-3.92424310377708	8.70028448522731e-05	0.00478798327410849
ahya_s0146.g28	372.932081660974	1.57037822173961	0.408617023439	3.84315418022235	0.000121463108278493	0.00601714592829513
ahya_s0176.g29	7396.95336850212	1.55580989034883	0.40927817953587	3.80135069041097	0.000143909448751482	0.00666795026373127
ahya_s0176.g5	274.884529184575	2.26272351384393	0.612874268978095	3.69198647810226	0.000222509297688894	0.00874209209785954
ahya_s0176.g8	286.635387542792	1.50834963699373	0.344012081726254	4.38458332458798	1.16207996194964e-05	0.00106715343011809
