baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ahya_s0011.g89	970.435002280291	0.866702002261083	0.221066279537332	3.92055271421312	8.8346107459814e-05	0.0474502736209163
ahya_s0084.g37	8.33149235266128	-17.8607339302469	3.40959154927265	-5.23837934020486	1.61992831246421e-07	0.000332203117023341
ahya_s0099.g30	27.4631219030473	-20.8570118806315	2.68908756595568	-7.75616686666693	8.75348328615268e-15	6.5820358656344e-11
ahya_s0185.g13	506.502443818141	-0.989641544628386	0.233027520654198	-4.24688698506545	2.16761227653406e-05	0.0181099991607613
ahya_s0001.g552	1995.11402807481	2.00120743985409	0.49885835367153	4.01157447825716	6.03151424899812e-05	0.0357883449241733
ahya_s0001.g704	522.014271923469	-1.53403652982459	0.328648638373452	-4.66770998175085	3.04575409426332e-06	0.00381700671435511
ahya_s0001.g808	41.0670300980433	6.07695941207994	1.32480583936124	4.58705663239678	4.49538768995179e-06	0.00507034777549663
ahya_s0020.g148	6405.88745852553	1.93251712551419	0.467481278524779	4.13389201726451	3.56671103870906e-05	0.026366092770541
ahya_s0096.g9	49793.8886586472	-1.61639577362884	0.375004105503246	-4.31034154002041	1.63002596740935e-05	0.015987011205574
ahya_s0012.g175	11986.1061622598	-1.99185646466919	0.487533536374945	-4.08557835729546	4.39671590515375e-05	0.0303106704206814
ahya_s0012.g209	19.6368567369409	4.59876367165476	1.13067473794733	4.0672737413445	4.75663552423975e-05	0.0315588776928824
ahya_s0211.g9	2866.60431599708	-0.654563208693311	0.136783343085041	-4.78540145261953	1.70645900000935e-06	0.00256628680814739
ahya_s0074.g50	18.9922497981988	4.37387195588271	0.972091822923808	4.4994432138388	6.81316761697621e-06	0.007279855089727
ahya_s0058.g16	11.7026661117171	-20.6411400741291	3.74486536381946	-5.51185104638229	3.55079369914564e-08	8.89986714059192e-05
ahya_s0155.g65	1124.21691362336	0.928791363704253	0.227443676527335	4.08361040361844	4.43413478093131e-05	0.0303106704206814
ahya_s0054.g32	33286.9545992938	-1.06758371417089	0.252594572904435	-4.22647130496661	2.37384527561616e-05	0.018465241974948
ahya_s0152.g50	1254.9451760058	1.1492445154939	0.249453443084487	4.60705012239362	4.08421580074185e-06	0.00484903894911235
ahya_s0152.g92	507.684344221674	-1.39740574714812	0.352599953123112	-3.96314785288758	7.39679395628202e-05	0.0417142195164525
ahya_s0165.g56	13.9631512427512	6.03980497475547	1.26603444035642	4.77064824007089	1.83633982656451e-06	0.00258900961297764
ahya_s0064.g43	8.07920424972875	20.0733097658968	2.82391308454785	7.10833129947795	1.17454348118299e-12	5.29907036970519e-09
ahya_s0139.g22	275.0320392038	-1.33853403055468	0.339720801776061	-3.94010029281933	8.14475512703209e-05	0.0448120454038024
ahya_s0255.g4	4.84321050270333	20.3728884286892	4.34407843615201	4.6898067629588	2.73463176746556e-06	0.0036286954947346
ahya_s0144.g32	17.4934888574256	6.29579300752176	1.52430419790035	4.13027335107644	3.62332155282725e-05	0.026366092770541
ahya_s0230.g26	16214.9976549944	20.3120020225299	2.65799775813978	7.64184317324085	2.14133905213144e-14	1.20760815844952e-10
ahya_s0136.g58	1883.23787809997	-0.515500149491079	0.128696506757689	-4.00554888767624	6.18736347212856e-05	0.0357883449241733
ahya_s0112.g45	26.1507618295554	5.52138147061003	1.37444188336986	4.01718074617509	5.88985488323079e-05	0.0357883449241733
ahya_s0032.g21	20.8225720503095	-21.9241010704902	3.49236073557905	-6.27773094776108	3.43549739811886e-10	1.10711357581093e-06
ahya_s0046.g69	15.8037071541734	21.0118666318714	3.15871818190784	6.65202320112662	2.89091115460524e-11	1.08688623042642e-07
ahya_s0046.g117	66.2297366145003	8.32913973703419	1.52948146725125	5.44572779427209	5.15939872799038e-08	0.000116385716506007
ahya_s0158.g59	45.3429999020106	21.8427596336706	4.34143795674195	5.03122694630482	4.87350837036347e-07	0.000845666167835839
ahya_s0072.g37	182.579300162585	7.50916479207844	1.29532257159991	5.79713884148835	6.74558434737565e-09	1.90208614635125e-05
ahya_s0072.g111	4721.01846478701	-3.91564691858101	0.916816430557798	-4.27091704301013	1.94670817151281e-05	0.0172297111287246
ahya_s0062.g25	64.759795925519	8.82022601214632	1.83818597987183	4.79833167521021	1.59992682874642e-06	0.00256628680814739
ahya_s0043.g6	71.7087308275474	23.981611678578	2.28197158436384	10.5091631477364	7.838600748036e-26	1.76823155674196e-21
ahya_s0091.g89	16.1557216290625	20.5233530152459	2.58614088467105	7.93589905982882	2.08975922715963e-15	2.35703943231334e-11
ahya_s0083.g1	29.0813767321076	6.49032315131284	1.52123832020975	4.26647361237781	1.98586971073162e-05	0.0172297111287246
ahya_s0006.g219	533.897015296805	1.09075400029838	0.271117863283681	4.02317275257175	5.74193473931624e-05	0.0357883449241733
ahya_s0050.g61	5968.20720057106	-0.922749270899361	0.178060238088979	-5.18223091692291	2.19247537527554e-07	0.000412148829295546
ahya_s0023.g42	537.414576452678	3.53049590365003	0.833279365686292	4.23686946903131	2.2665781306956e-05	0.0182605248115112
ahya_s0023.g56	19.7278868479314	6.57011773407634	1.46305791953603	4.49067507604885	7.09977887995364e-06	0.007279855089727
ahya_s0047.g23	35.6581846339013	3.88155831149401	0.964639629806677	4.02384288552597	5.72561218805801e-05	0.0357883449241733
ahya_s0003.g62	212.228141186781	2.16244705825267	0.505235219750517	4.28007979990089	1.86826312875001e-05	0.0172297111287246
