baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ahya_s0073.g45	71.9691785024504	-3.28449557163635	1.10411475380824	-2.97477735924431	0.00293201263652382	0.0306275519339101
ahya_s0073.g46	14.145498075945	-5.54041910248457	1.48300347580914	-3.7359447856059	0.000187011702998851	0.00448058158192479
ahya_s0073.g14	11.285147484873	-6.50882431531897	2.03147046755423	-3.20399652334361	0.00135534113319469	0.0180772097825498
ahya_s0073.g15	2181.65675221986	-1.50413707300669	0.492803686949748	-3.05220336786984	0.0022716813466365	0.0254488152479836
ahya_s0227.g20	1145.04757130946	1.02711373342063	0.284004708737582	3.61653769047072	0.000298569860972784	0.00628816562433538
ahya_s0227.g9	1356.21122258392	1.53373335054529	0.503575040980873	3.04568976960784	0.00232147228636958	0.0258772547094548
ahya_s0227.g17	130.150261526931	-2.95141377152986	0.959388459316347	-3.07634904596727	0.00209552379300686	0.0240604429691348
ahya_s0227.g25	1408.92610111458	1.82865943265089	0.475734373312571	3.84386652559453	0.000121110893495606	0.00331466126084386
ahya_s0227.g26	1235.07398168176	2.02077943392777	0.507218074471823	3.98404460651772	6.77521465309346e-05	0.0021425417770432
ahya_s0227.g27	267.332960626009	1.54350789727129	0.522228950786401	2.95561533872641	0.00312045998834328	0.0318586575171852
ahya_s0148.g9	174.099349512089	-2.20120004686038	0.667748722711491	-3.29644965537648	0.000979151618776643	0.0144642344005522
ahya_s0148.g11	8.33506326568515	-5.35926855481519	1.57287269675327	-3.40731234376298	0.000656060040202294	0.0109298523555841
ahya_s0148.g15	865.71183945907	1.27011733484151	0.306611635891976	4.14243031301328	3.43644802308515e-05	0.00133044659449402
ahya_s0148.g16	462.021261355826	1.66154859295712	0.451263118658984	3.68199510275675	0.000231415857126001	0.00519546219744607
ahya_s0148.g25	602.238605355807	-1.26053319073439	0.459837333258715	-2.74125891823833	0.00612042567817411	0.0499804628682209
ahya_s0148.g42	394.033888639844	1.57456182555211	0.459767712195361	3.42468986791977	0.000615501594324582	0.0104540723939276
ahya_s0276.g12	58.5746308409768	-5.29750884079495	1.60432494446579	-3.30201737439102	0.000959921239959724	0.0142951393763402
ahya_s0276.g5	6027.30806382379	1.45714258626591	0.493399217815185	2.95327299609081	0.00314423766247939	0.032012740178669
ahya_s0011.g8	33.6287331785846	-7.57075041663429	2.18188253658584	-3.46982492855955	0.000520797707994762	0.00921353641167693
ahya_s0011.g136	329.342362798288	-1.80155268984823	0.511864912576757	-3.51958621422029	0.000432220536143043	0.00814352417104312
ahya_s0011.g15	712.377969318298	1.50856907945377	0.519108731406878	2.90607533293704	0.00365993322931585	0.0354204653974139
ahya_s0011.g18	8977.57529694227	1.02513246228007	0.330038694646638	3.10609779673757	0.00189574006982769	0.0225510467478051
ahya_s0011.g25	690.681143517952	1.49623283234507	0.374995547839696	3.99000159059138	6.60728521692464e-05	0.00212066045409393
ahya_s0011.g35	1135.37825931265	-0.930986086974526	0.246730915117145	-3.77328510508099	0.000161111996303453	0.00404867123438018
ahya_s0011.g40	86.3173139898505	-2.55065774109859	0.844631620290573	-3.01984638015459	0.00252902924035382	0.0275396694553772
ahya_s0011.g46	1472.25919935378	-0.867455348945501	0.30053582562828	-2.88636253974732	0.00389722946648469	0.0369568320848381
ahya_s0011.g50	1178.436233395	-2.45204460898044	0.539999611643796	-4.54082661562708	5.60340994229348e-06	0.000334902182334806
ahya_s0011.g104	165.206873572131	-2.9192676811956	0.900871918826319	-3.24049137306767	0.00119323882771885	0.0165115602661303
ahya_s0011.g123	845.557512883404	-0.928388622185383	0.205832420371012	-4.51041007297086	6.47024261123779e-06	0.00037309998301952
ahya_s0011.g129	2492.13716498474	-1.13281089877594	0.412656593058305	-2.74516612076978	0.00604802741815489	0.0495121491335286
ahya_s0011.g176	3495.82200159101	1.19259465074589	0.372362547605162	3.20277820209371	0.00136108764534273	0.0181061116984271
ahya_s0011.g198	3604.03630274139	-0.83954879788472	0.283911024870907	-2.95708417193894	0.00310563326718019	0.0318119118220607
ahya_s0011.g200	1050.55745415289	1.0524110175929	0.275543510301846	3.81940048756738	0.000133776414385439	0.00355235053786402
ahya_s0011.g208	1381.35608562561	-1.79841128631279	0.526551201271931	-3.41545377157733	0.000636758368798949	0.0107081935875437
ahya_s0011.g209	2116.54943063586	-2.9145530070451	0.529657644963362	-5.50271110926136	3.73994978987183e-08	8.42005600097114e-06
ahya_s0011.g210	247.847874418882	-3.11093935017879	0.659348276753366	-4.71820350467445	2.37936420470131e-06	0.000173654323507474
ahya_s0011.g229	844.352750748417	-0.721304423643118	0.194537628867437	-3.70778870824335	0.000209076988691458	0.00484646596218335
ahya_s0011.g230	390.115001938752	-0.917038296983402	0.245342420333161	-3.73778939548292	0.000185645349181791	0.00447207108039882
ahya_s0011.g233	327.720632134928	-3.62201244650474	1.04305577385705	-3.47250121928871	0.000515632669991248	0.00915144531636152
ahya_s0011.g243	890.344487679428	0.595197677365332	0.21644007739253	2.74994208344279	0.00596057988966144	0.0489280859985053
ahya_s0011.g246	3892.03370773065	2.88493586828157	0.622151806946734	4.6370288345535	3.53453120178712e-06	0.000228545681275791
ahya_s0146.g2	32.7164028751955	-4.09105448586299	1.36225128606454	-3.00315700026374	0.00267194551090565	0.0286974161171769
ahya_s0146.g4	4940.20161938211	1.42729827067105	0.326617900245974	4.36993278566838	1.24284786110324e-05	0.000600094707433125
ahya_s0146.g14	276.597803563807	-2.70512708208063	0.428086150034651	-6.31911843413217	2.63059618280933e-10	1.71097070548957e-07
ahya_s0146.g16	4166.58627800225	-1.48457495181009	0.389913144816727	-3.80745038105319	0.000140406899184778	0.00369198355359357
