baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ahya_s0073.g45	71.9691785024504	-2.86331982455431	1.02165652738991	-2.80262470584847	0.0050688615553462	0.0352834435047156
ahya_s0227.g1	1498.93853316901	-1.14027785297125	0.324950746835432	-3.50907903451821	0.00044966126213557	0.00592784027853015
ahya_s0227.g9	1356.21122258392	2.2054151382575	0.475025202946711	4.64273290043709	3.43830717969299e-06	0.000157566060099419
ahya_s0227.g13	2301.87017160533	1.54496460578268	0.558129082405662	2.76811342480764	0.0056381829479894	0.0382274800064493
ahya_s0227.g25	1408.92610111458	1.64782397341091	0.448186715369537	3.67664617647636	0.000236320461996904	0.00366677332444159
ahya_s0227.g26	1235.07398168176	1.47684205367806	0.477901950695356	3.09026161439439	0.00199980264205968	0.0180090245406255
ahya_s0227.g27	267.332960626009	1.45313485943436	0.491010633612425	2.9594773716884	0.0030816133230289	0.024630180822262
ahya_s0148.g9	174.099349512089	-1.64734587152514	0.621695264961556	-2.64976422432139	0.00805479607531046	0.0493351166939717
ahya_s0148.g50	536.809901147183	-2.22940795098383	0.798393732774242	-2.79236654731386	0.00523240461349032	0.0360857786834287
ahya_s0148.g2	102.239321570906	-1.65485741570116	0.60668573739279	-2.72770120295369	0.00637773493940103	0.0417781150034623
ahya_s0148.g14	129.943088701205	-1.21557692621786	0.384323717882247	-3.16289854010597	0.00156206761785282	0.0150285742053163
ahya_s0148.g15	865.71183945907	1.32645900944525	0.288951366840182	4.59059607141056	4.41981958705132e-06	0.000187117205798681
ahya_s0148.g16	462.021261355826	1.47592616941137	0.425301842155346	3.47030278997068	0.000519871949687508	0.00657836799849762
ahya_s0148.g27	1667.85522761359	1.17405251546924	0.297484709015188	3.94659785827613	7.92695314671049e-05	0.00164898883309114
ahya_s0148.g33	3554.44445751283	2.62367933295541	0.511932718347359	5.12504717695184	2.9746325440949e-07	2.16369580623494e-05
ahya_s0148.g42	394.033888639844	1.28156439834468	0.432268032782227	2.96474479062467	0.00302934124423027	0.0243109962272992
ahya_s0148.g51	158.582757011088	-1.58293530926038	0.457655358287807	-3.45879334873846	0.000542601041218746	0.0068011955100335
ahya_s0432.g1	931.81207369209	1.77683646780651	0.423636455688471	4.19424826156402	2.73778007223751e-05	0.000739951631494018
ahya_s0276.g7	283.252390903084	-1.36259763498684	0.324524604064472	-4.19874985724082	2.68392600722804e-05	0.00073086407201853
ahya_s0276.g12	58.5746308409768	-5.74621597990132	1.46778891302607	-3.91487899173092	9.04495595430943e-05	0.00180699046327752
ahya_s0276.g14	5291.09784630345	2.99109934509899	0.818453827518404	3.65457310422527	0.00025761025551739	0.00389077042900643
ahya_s0276.g5	6027.30806382379	2.56663800165315	0.465170672581199	5.51762643893919	3.43608856352045e-08	4.13781420571496e-06
ahya_s0276.g9	1288.19257943442	-1.57866159970015	0.417413623448315	-3.7820078478958	0.000155568456347619	0.0026890764432145
ahya_s0276.g15	15282.6840645201	2.9979587156078	0.584258167673656	5.13122260240671	2.87866226485525e-07	2.11518248315262e-05
ahya_s0011.g8	33.6287331785846	-8.55715274172852	2.03454679083947	-4.20592575223977	2.60015593284734e-05	0.00071343012658733
ahya_s0011.g27	2940.48298453458	0.982784290335624	0.29006551571112	3.38814590878287	0.000703668205197007	0.00827602388271857
ahya_s0011.g107	17.9825120548206	23.083275824113	3.19495666981473	7.22491044783138	5.01432158167302e-13	9.05753621702871e-10
ahya_s0011.g15	712.377969318298	1.82501981006775	0.489408417125812	3.7290323300643	0.000192216492136211	0.00317325566149619
ahya_s0011.g18	8977.57529694227	1.2135947525149	0.311146354829107	3.90039842562658	9.60345121015156e-05	0.00188043729386852
ahya_s0011.g35	1135.37825931265	-0.693653815268998	0.231501108014417	-2.9963304332254	0.00273250160990574	0.0225293666399075
ahya_s0011.g40	86.3173139898505	-2.82138285527978	0.78803782322053	-3.58026324643839	0.000343248226664175	0.00480325923897524
ahya_s0011.g56	999.076733015849	0.861197757366551	0.254149836780673	3.38854342098102	0.000702649029099712	0.00827301485864495
ahya_s0011.g64	319.111508988074	-1.19443804006464	0.345760853207373	-3.4545207445687	0.000551271804310736	0.00688724359091615
ahya_s0011.g81	1245.95829920317	1.33887996127337	0.305955815126849	4.37605659078019	1.2084565202893e-05	0.000403613305605407
ahya_s0011.g92	9925.1549991978	-0.935120918560711	0.233188693151488	-4.01014691545624	6.06809793062694e-05	0.00134626920905446
ahya_s0011.g98	33.0147691887365	-3.42599073138777	1.21931098551694	-2.80977598995	0.00495759927340827	0.0346983925897313
ahya_s0011.g116	1303.92934775252	1.41050822036648	0.379834976443094	3.71347639855332	0.00020443153793366	0.00330690896735075
ahya_s0011.g121	2919.96969931194	0.803996136145787	0.291033410565196	2.7625561428992	0.00573506975603627	0.0387873235668774
ahya_s0011.g142	585.659862585581	-0.877847279643261	0.264102247339597	-3.32389174452756	0.000887706478315946	0.00990320412968422
ahya_s0011.g147	3897.98043826548	-1.09835204209951	0.369878200306746	-2.96949655640324	0.00298288155611293	0.0240449760544083
ahya_s0011.g173	23954.3947631644	1.23677841944956	0.284758714003381	4.3432504735742	1.40389916348921e-05	0.000450161512837162
ahya_s0011.g177	2929.59481660172	0.582491608657557	0.159360093431714	3.65519118440498	0.000256990391226565	0.00388594577196426
ahya_s0011.g178	1378.26889733308	0.833894845598071	0.297057749791078	2.80718091409684	0.00499771650662172	0.0349002909141534
ahya_s0011.g180	108.776673763702	-1.18313364982987	0.420850477450975	-2.81129216484658	0.0049342957554443	0.034602327659337
ahya_s0011.g181	27801.118262969	1.3673867313735	0.280239992541387	4.87934187755717	1.06440419636053e-06	5.96176365899506e-05
ahya_s0011.g185	367.923796579237	-1.01570474603269	0.231216120994711	-4.3928803132889	1.11858715170416e-05	0.000380351384836626
ahya_s0011.g193	1448.4879311172	1.05547497088105	0.291526672811887	3.62050909681981	0.000294023912572323	0.0042888710154224
ahya_s0011.g208	1381.35608562561	1.41154514324598	0.49611078690398	2.84522163296397	0.00443805313272404	0.0321199464791073
ahya_s0011.g214	1105.76528353275	1.03365846224658	0.315512301713168	3.2761272908664	0.00105241116535234	0.0113155081449292
ahya_s0011.g224	26.7383010446287	-3.55321365624965	1.03844470828659	-3.42166860488158	0.000622381224721177	0.00759186011652011
ahya_s0011.g227	99.4815180154363	2.94906466686569	0.981158143954326	3.00569758813822	0.00264972379726364	0.0220257557889676
ahya_s0011.g240	310.906073643273	-0.899827994442309	0.327967723642902	-2.74364801648	0.00607606488880705	0.0403707085724112
ahya_s0011.g244	641.989342704708	0.835616627225101	0.271607640094418	3.07655788671709	0.00209405638483475	0.0186562951901677
ahya_s0011.g246	3892.03370773065	2.42543121779578	0.586494899792741	4.1354685584698	3.54231114991593e-05	0.000900154003347921
ahya_s0146.g4	4940.20161938211	1.38647486981835	0.307798325411282	4.50449127026838	6.65321327003257e-06	0.000254966728539651
ahya_s0146.g15	6989.85416111667	-1.54293649562468	0.326417347587928	-4.72688264587118	2.27992941004097e-06	0.000110806614107731
ahya_s0146.g32	157.253486436371	-2.69619748238041	0.965314015022077	-2.79307814910234	0.00522090770464903	0.0360294159203987
ahya_s0084.g9	112.775403357076	-3.71558018487319	1.04126028847562	-3.56834907274982	0.000359237691668772	0.00497767143182194
ahya_s0084.g43	110.094141340414	-2.13582128123665	0.807364685913807	-2.64542321270745	0.00815888023582911	0.049747366523722
ahya_s0084.g16	21131.3051831426	-1.5097929111685	0.257517651233714	-5.86287155049528	4.54930147227892e-09	8.96460533755617e-07
ahya_s0084.g31	4.38864463598294	-4.8621506029282	1.56181672032033	-3.11313775788683	0.00185109592692711	0.0169515654043396
ahya_s0084.g32	6.70712434765462	-4.38226294291959	1.61007115235073	-2.72178216255934	0.00649309278820241	0.0423418409377483
ahya_s0084.g37	8.33149235266128	-19.4304774976171	3.20768735105174	-6.05747236907183	1.38277084321937e-09	3.52622832913212e-07
ahya_s0084.g18	799.877165362279	-1.46833545128487	0.468859081648498	-3.13172018791282	0.00173785417010509	0.0162439529931858
ahya_s0084.g23	630.690786540456	-1.77756576019908	0.461211701767304	-3.85412111919032	0.000116146091118588	0.00216101516831461
ahya_s0176.g2	3755.27053037113	-1.04268722695872	0.306625139841497	-3.40052752196937	0.000672559651216599	0.00801892354222827
ahya_s0176.g8	286.635387542792	-1.35184240556663	0.345354429897816	-3.91436243040698	9.06433990322564e-05	0.0018075311107849
ahya_s0176.g17	1537.1014117123	-0.923128290713202	0.310206437406384	-2.97585149564084	0.00292176309147202	0.0236910574172063
ahya_s0176.g18	388.63249062147	-1.579096124134	0.54075204118711	-2.92018523067877	0.0034982339150008	0.0269083457564078
ahya_s0176.g22	351.192419735122	-1.43698647215931	0.441905893027823	-3.25179296051805	0.00114679524052084	0.0119811975587303
ahya_s0176.g26	12077.213650196	2.4478831005229	0.662131872377498	3.69697216316345	0.00021818625655674	0.00346984981447094
ahya_s0176.g31	2158.97030557812	0.888904432021601	0.242863642912484	3.66009675784168	0.000252120027492457	0.00383505523924667
ahya_s0068.g1	862.730687077363	-5.45767873250552	1.89986209286985	-2.87267099700978	0.0040701774355336	0.0301727654215548
ahya_s0099.g30	27.4631219030473	-20.8095523659086	2.55172347334372	-8.15509697006481	3.48899824398591e-16	3.78137629683193e-12
ahya_s0099.g3	241.942847943461	-3.37093763988081	1.03210722585007	-3.26607309342732	0.00109050097380055	0.0115531276188176
